Stage,Team 1,FT,Team 2
B,Club León,02-Jan,CF Pachuca
B,Club Tijuana,4-0,Club Puebla
B,Club Necaxa,1-0,Querétaro FC
B,Tigres UANL,02-Jan,CD Guadalajara Chivas
B,Deportivo Toluca FC,4-0,Lobos BUAP
B,Club Atlas,2-0,CF Monterrey
B,Santos Laguna,05-Feb,Pumas UNAM
B,CF Pachuca,01-Jan,Tigres UANL
B,Club Tijuana,01-Mar,Club León
B,Club Necaxa,1-0,CF Monterrey
B,Club América,03-Jan,Cruz Azul
B,Tigres UANL,01-Jan,CF Pachuca
B,Club León,02-Jan,Club Tijuana
B,Cruz Azul,1-0,Club América
B,CF Monterrey,1-0,Club Necaxa
B,CF Monterrey,1-0,Tigres UANL
B,Club América,0-1,Club León
B,Tigres UANL,1-0,CF Monterrey
B,Club León,0-1,Club América
B,Tigres UANL,1-0,Club León
B,Club León,0-0,Tigres UANL
A,Club Puebla,01-Mar,Club Tijuana
A,Club Atlas,1-0,FC Juárez
A,CF Pachuca,01-Mar,Club León
A,Atlético San Luis,0-2,Pumas UNAM
A,Club América,04-Feb,CF Monterrey
A,Tigres UANL,04-Feb,Monarcas Morelia
A,Club Necaxa,0-0,Cruz Azul
A,Deportivo Toluca FC,0-2,Querétaro FC
A,Santos Laguna,3-0,CD Guadalajara Chivas
A,Monarcas Morelia,0-1,Club Atlas
A,Tiburones Rojos Veracruz,03-Mar,CF Pachuca
A,Club León,0-0,Club América
A,Club Tijuana,01-Jan,Querétaro FC
A,Cruz Azul,01-Jan,Deportivo Toluca FC
A,Pumas UNAM,2-0,Club Necaxa
A,Atlético San Luis,1-0,CF Monterrey
A,CD Guadalajara Chivas,2-0,Tigres UANL
A,Santos Laguna,3-0,FC Juárez
A,Club Puebla,01-Jan,CD Guadalajara Chivas
A,Club Atlas,01-Feb,Santos Laguna
A,Querétaro FC,3-0,Cruz Azul
A,Club América,03-Jan,Club Tijuana
A,CF Monterrey,03-Feb,Club León
A,Club Necaxa,7-0,Tiburones Rojos Veracruz
A,CF Pachuca,01-Feb,Monarcas Morelia
A,Pumas UNAM,0-1,Tigres UANL
A,FC Juárez,2-0,Deportivo Toluca FC
A,Monarcas Morelia,0-1,CF Monterrey
A,Tiburones Rojos Veracruz,01-Feb,Club Atlas
A,Club Tijuana,1-0,Pumas UNAM
A,CD Guadalajara Chivas,3-0,Atlético San Luis
A,Cruz Azul,2-0,FC Juárez
A,Tigres UANL,03-Jan,Club Necaxa
A,Querétaro FC,02-Jan,CF Pachuca
A,Santos Laguna,04-Jan,Club Puebla
A,Deportivo Toluca FC,0-1,Club América
A,Club Puebla,0-4,CF Pachuca
A,Club Atlas,01-Mar,Cruz Azul
A,Atlético San Luis,01-Jan,Tigres UANL
A,Club León,04-Mar,CD Guadalajara Chivas
A,CF Monterrey,2-0,Deportivo Toluca FC
A,Club América,1-0,Monarcas Morelia
A,Pumas UNAM,2-0,Tiburones Rojos Veracruz
A,FC Juárez,0-2,Querétaro FC
A,Club Necaxa,3-0,Santos Laguna
A,Tiburones Rojos Veracruz,01-Feb,Atlético San Luis
A,Monarcas Morelia,2-0,Pumas UNAM
A,Santos Laguna,02-Jan,CF Monterrey
A,Querétaro FC,0-4,Club León
A,CF Pachuca,03-Jan,Club Atlas
A,Cruz Azul,01-Jan,Club Puebla
A,Tigres UANL,01-Jan,Club América
A,Deportivo Toluca FC,2-0,Club Tijuana
A,CD Guadalajara Chivas,01-Feb,Club Necaxa
A,Tiburones Rojos Veracruz,0-5,Querétaro FC
A,Atlético San Luis,01-Jan,Monarcas Morelia
A,Club América,01-Jan,CF Pachuca
A,Club Atlas,01-Jan,Tigres UANL
A,Club León,02-Feb,Santos Laguna
A,Club Necaxa,01-Jan,Deportivo Toluca FC
