Stage,Round,Date,Team 1,FT,Team 2
Clausura,13,Sun Apr 7 2019,Santos Laguna,0-0,CF Pachuca
Clausura,14,Fri Apr 12 2019,Club Atlas,01-Feb,Club Necaxa
Clausura,14,Fri Apr 12 2019,Club Puebla,0-3,Club León
Clausura,14,Sat Apr 13 2019,Querétaro FC,0-0,Deportivo Toluca FC
Clausura,14,Sat Apr 13 2019,CF Pachuca,09-Feb,Tiburones Rojos Veracruz
Clausura,14,Sat Apr 13 2019,Monarcas Morelia,1-0,CD Guadalajara Chivas
Clausura,14,Sun Apr 14 2019,Pumas UNAM,1-0,Club Tijuana
Clausura,14,Sun Apr 14 2019,CF Monterrey,4-0,Santos Laguna
Clausura,14,Sun Apr 14 2019,Club América,0-0,Cruz Azul
Clausura,14,Sun Apr 14 2019,Lobos BUAP,0-3,Tigres UANL
Clausura,15,Fri Apr 19 2019,Tiburones Rojos Veracruz,0-1,CF Monterrey
Clausura,15,Fri Apr 19 2019,Club Tijuana,01-Feb,Lobos BUAP
Clausura,15,Sat Apr 20 2019,Club Necaxa,02-Feb,CF Pachuca
Clausura,15,Sat Apr 20 2019,Club León,05-Feb,Club Atlas
Clausura,15,Sat Apr 20 2019,Cruz Azul,02-Jan,Pumas UNAM
Clausura,15,Sat Apr 20 2019,CD Guadalajara Chivas,01-Mar,Club Puebla
Clausura,15,Sat Apr 20 2019,Tigres UANL,03-Mar,Monarcas Morelia
Clausura,15,Sun Apr 21 2019,Deportivo Toluca FC,03-Feb,Club América
Clausura,15,Sun Apr 21 2019,Santos Laguna,02-Jan,Querétaro FC
Clausura,16,Fri Apr 26 2019,Club Puebla,01-Jan,Tigres UANL
Clausura,16,Fri Apr 26 2019,Monarcas Morelia,01-Apr,Club Tijuana
Clausura,16,Sat Apr 27 2019,CF Pachuca,1-0,Club Atlas
Clausura,16,Sat Apr 27 2019,CD Guadalajara Chivas,02-Jan,Club León
Clausura,16,Sat Apr 27 2019,CF Monterrey,02-Feb,Club Necaxa
Clausura,16,Sat Apr 27 2019,Club América,1-0,Santos Laguna
Clausura,16,Sun Apr 28 2019,Pumas UNAM,02-Feb,Deportivo Toluca FC
Clausura,16,Sun Apr 28 2019,Lobos BUAP,01-Apr,Cruz Azul
Clausura,16,Sun Apr 28 2019,Querétaro FC,02-Jan,Tiburones Rojos Veracruz
Clausura,17,Fri May 3 2019,Tiburones Rojos Veracruz,0-2,Club América
Clausura,17,Sat May 4 2019,Cruz Azul,01-Jan,Monarcas Morelia
Clausura,17,Sat May 4 2019,Club León,02-Jan,CF Pachuca
Clausura,17,Sat May 4 2019,Club Tijuana,4-0,Club Puebla
Clausura,17,Sat May 4 2019,Club Necaxa,1-0,Querétaro FC
Clausura,17,Sat May 4 2019,Tigres UANL,02-Jan,CD Guadalajara Chivas
Clausura,17,Sun May 5 2019,Deportivo Toluca FC,4-0,Lobos BUAP
Clausura,17,Sun May 5 2019,Club Atlas,2-0,CF Monterrey
Clausura,17,Sun May 5 2019,Santos Laguna,05-Feb,Pumas UNAM
Clausura - Liguilla,Cuartos de Final,Wed May 8 2019,CF Pachuca,01-Jan,Tigres UANL
Clausura - Liguilla,Cuartos de Final,Wed May 8 2019,Club Tijuana,01-Mar,Club León
Clausura - Liguilla,Cuartos de Final,Thu May 9 2019,Club Necaxa,1-0,CF Monterrey
Clausura - Liguilla,Cuartos de Final,Thu May 9 2019,Club América,03-Jan,Cruz Azul
Clausura - Liguilla,Cuartos de Final,Sat May 11 2019,Tigres UANL,01-Jan,CF Pachuca
Clausura - Liguilla,Cuartos de Final,Sat May 11 2019,Club León,02-Jan,Club Tijuana
Clausura - Liguilla,Cuartos de Final,Sun May 12 2019,Cruz Azul,1-0,Club América
Clausura - Liguilla,Cuartos de Final,Sun May 12 2019,CF Monterrey,1-0,Club Necaxa
Clausura - Liguilla,Semifinales,Wed May 15 2019,CF Monterrey,1-0,Tigres UANL
Clausura - Liguilla,Semifinales,Thu May 16 2019,Club América,0-1,Club León
Clausura - Liguilla,Semifinales,Sat May 18 2019,Tigres UANL,1-0,CF Monterrey
Clausura - Liguilla,Semifinales,Sun May 19 2019,Club León,0-1,Club América
Clausura - Liguilla,Final,Thu May 23 2019,Tigres UANL,1-0,Club León
Clausura - Liguilla,Final,Sun May 26 2019,Club León,0-0,Tigres UANL
