Round,Team 1,FT,Team 2
2,Club Necaxa,02-Feb,Club Atlas
2,Tigres UANL,02-Feb,Lobos BUAP
2,CD Guadalajara Chivas,01-Feb,Monarcas Morelia
2,Cruz Azul,0-0,Club América
2,Club Tijuana,0-1,Pumas UNAM
2,Deportivo Toluca FC,4-0,Querétaro FC
2,Club León,0-4,Club Puebla
2,Monarcas Morelia,0-2,Tigres UANL
2,Club Puebla,02-Feb,CD Guadalajara Chivas
2,CF Pachuca,06-Feb,Club Necaxa
2,Club América,01-Jan,Deportivo Toluca FC
2,CF Monterrey,2-0,Tiburones Rojos Veracruz
2,Lobos BUAP,03-Jan,Club Tijuana
2,Pumas UNAM,01-Feb,Cruz Azul
2,Querétaro FC,02-Jan,Santos Laguna
2,Club Atlas,0-0,Club León
2,Tiburones Rojos Veracruz,02-Feb,Querétaro FC
2,Club Atlas,0-0,CF Pachuca
2,Club León,0-1,CD Guadalajara Chivas
2,Cruz Azul,02-Jan,Lobos BUAP
2,Club Tijuana,02-Mar,Monarcas Morelia
2,Club Necaxa,01-Jan,CF Monterrey
2,Tigres UANL,06-Jan,Club Puebla
2,Deportivo Toluca FC,0-1,Pumas UNAM
2,Santos Laguna,01-Jan,Club América
2,Monarcas Morelia,0-2,Cruz Azul
2,Club Puebla,0-0,Club Tijuana
2,Querétaro FC,1-0,Club Necaxa
2,CF Pachuca,01-Jan,Club León
2,CF Monterrey,03-Jan,Club Atlas
2,CD Guadalajara Chivas,0-1,Tigres UANL
2,Club América,04-Jan,Tiburones Rojos Veracruz
2,Pumas UNAM,01-Jan,Santos Laguna
2,Lobos BUAP,2-0,Deportivo Toluca FC
2,CF Monterrey,1-0,Santos Laguna
2,Querétaro FC,0-2,Cruz Azul
2,Tigres UANL,02-Jan,Pumas UNAM
2,Deportivo Toluca FC,02-Feb,Club América
2,Cruz Azul,01-Jan,Querétaro FC
2,Santos Laguna,0-2,CF Monterrey
2,Club América,03-Feb,Deportivo Toluca FC
2,Pumas UNAM,03-Jan,Tigres UANL
