Stage,Round,Team 1,FT,Team 2
B,1,Lobos BUAP,0-1,Club León
B,2,Monarcas Morelia,01-Jan,Lobos BUAP
B,2,Club Puebla,1-0,Pumas UNAM
B,2,Cruz Azul,04-Jan,CF Pachuca
B,2,Club Tijuana,1-0,CF Monterrey
B,2,Tigres UANL,04-Jan,Querétaro FC
B,2,CD Guadalajara Chivas,0-2,Club América
B,2,Deportivo Toluca FC,2-0,Club Atlas
B,2,Club León,2-0,Tiburones Rojos Veracruz
B,2,Santos Laguna,01-Feb,Club Necaxa
B,2,Monarcas Morelia,02-Mar,Club León
B,2,Club Atlas,1-0,Santos Laguna
B,2,Club América,3-0,Tigres UANL
B,2,Querétaro FC,1-0,Club Tijuana
B,2,Club Necaxa,2-0,Tiburones Rojos Veracruz
B,2,CF Monterrey,02-Feb,Cruz Azul
B,2,CF Pachuca,03-Feb,Deportivo Toluca FC
B,2,Pumas UNAM,02-Jan,CD Guadalajara Chivas
B,2,Lobos BUAP,0-4,Club Puebla
B,2,Tiburones Rojos Veracruz,0-1,Club Atlas
B,2,Club Puebla,01-Jan,Monarcas Morelia
B,2,Club León,02-Jan,Club Necaxa
B,2,Cruz Azul,3-0,Querétaro FC
B,2,Tigres UANL,2-0,Pumas UNAM
B,2,Club Tijuana,03-Feb,Club América
B,2,CD Guadalajara Chivas,0-1,Lobos BUAP
B,2,Deportivo Toluca FC,05-Jan,CF Monterrey
B,2,Santos Laguna,0-0,CF Pachuca
B,2,Club Atlas,01-Feb,Club Necaxa
B,2,Club Puebla,0-3,Club León
B,2,Querétaro FC,0-0,Deportivo Toluca FC
B,2,CF Pachuca,09-Feb,Tiburones Rojos Veracruz
B,2,Monarcas Morelia,1-0,CD Guadalajara Chivas
B,2,Pumas UNAM,1-0,Club Tijuana
B,2,CF Monterrey,4-0,Santos Laguna
B,2,Club América,0-0,Cruz Azul
B,2,Lobos BUAP,0-3,Tigres UANL
B,2,Tiburones Rojos Veracruz,0-1,CF Monterrey
B,2,Club Tijuana,01-Feb,Lobos BUAP
B,2,Club Necaxa,02-Feb,CF Pachuca
B,2,Club León,05-Feb,Club Atlas
B,2,Cruz Azul,02-Jan,Pumas UNAM
B,2,CD Guadalajara Chivas,01-Mar,Club Puebla
B,2,Tigres UANL,03-Mar,Monarcas Morelia
B,2,Deportivo Toluca FC,03-Feb,Club América
B,2,Santos Laguna,02-Jan,Querétaro FC
B,2,Club Puebla,01-Jan,Tigres UANL
B,2,Monarcas Morelia,01-Apr,Club Tijuana
B,2,CF Pachuca,1-0,Club Atlas
B,2,CD Guadalajara Chivas,02-Jan,Club León
B,2,CF Monterrey,02-Feb,Club Necaxa
B,2,Club América,1-0,Santos Laguna
B,2,Pumas UNAM,02-Feb,Deportivo Toluca FC
